config_idx,hidden_dim,dropout_rate,learning_rate,batch_size,epochs,use_class_weights,train_loss,val_loss,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn,savings
68,256,0.2,0.001,64,50,True,0.001988397819438803,0.004757258418045532,10120,0.6499999999999997,10120,0.8444444444444444,0.7755102040816326,0.7616230580573329,14,22,76,56850,660
69,256,0.2,0.001,128,50,True,0.0016077599847237722,0.005426705851108375,8800,0.8799999999999997,6270,0.9787234042553191,0.46938775510204084,0.8323984386055786,1,52,46,56863,4510
70,256,0.2,0.01,32,50,True,0.17300485818070388,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.5008602226045433,0,98,0,56864,0
71,256,0.2,0.01,64,50,True,0.17300485818070388,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.0008602226045433798,0,98,0,56864,0
72,256,0.2,0.01,128,50,True,0.17264454921299208,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.005526057304264458,0,98,0,56864,0
73,256,0.3,0.0001,32,50,True,0.001784795831847342,0.004219838816447155,6710,0.7399999999999997,4510,0.96,0.7346938775510204,0.8661692828144537,3,26,72,56861,6270
74,256,0.3,0.0001,64,50,True,0.001760627884144744,0.0043147009578896455,6490,0.8699999999999997,5060,1.0,0.5306122448979592,0.8612375869147004,0,46,52,56864,5720
75,256,0.3,0.0001,128,50,True,0.001977053965863855,0.004164866376214469,9790,0.8799999999999997,6930,0.9433962264150944,0.5102040816326531,0.8275965380590616,3,48,50,56861,3850
76,256,0.3,0.001,32,50,True,0.0027882623084290407,0.004591477082531729,9460,0.8899999999999996,7150,0.9012345679012346,0.7448979591836735,0.8514184285967109,8,25,73,56856,3630
77,256,0.3,0.001,64,50,True,0.002071003444300275,0.005273907987368834,7810,0.7199999999999998,5940,0.9642857142857143,0.5510204081632653,0.8384716571360449,2,44,54,56862,4840
78,256,0.3,0.001,128,50,True,0.0018925542996300513,0.004723084093110329,8030,0.8499999999999996,6600,0.9464285714285714,0.5408163265306123,0.8358132052792848,3,45,53,56861,4180
79,256,0.3,0.01,32,50,True,0.17300485818070388,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.5008602226045433,0,98,0,56864,0
80,256,0.3,0.01,64,50,True,0.17300485818070388,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.5008602226045433,0,98,0,56864,0
81,256,0.3,0.01,128,50,True,0.17261698436441175,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.004828749059776522,0,98,0,56864,0
