config_idx,hidden_dim,latent_dim,beta,learning_rate,epochs,batch_size,train_loss,val_loss,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn
37,256,8,0.5,0.001,100,256,7.318548194743882,7.353655936197527,22660,5.587078811654633,24310,0.9090909090909091,0.2032520325203252,0.5912726023878169,5,196,50,56858
38,256,8,0.5,0.0001,100,256,7.770447485411529,7.791403241123402,21340,5.277175506621113,22000,0.953125,0.24796747967479674,0.5673174086954296,3,185,61,56860
39,256,8,1.0,0.001,100,256,11.10670522704321,11.107320445632485,22000,6.999825897233429,21780,0.9666666666666667,0.23577235772357724,0.6179724986280967,2,188,58,56861
40,256,8,1.0,0.0001,100,256,11.610923812931777,11.611774132564234,17710,3.429242609027332,22110,0.9009009009009009,0.4065040650406504,0.5719761449870183,11,146,100,56852
41,256,8,2.0,0.001,100,256,15.329551183750215,15.35287335349876,20350,4.462653991703527,21560,0.9090909090909091,0.4065040650406504,0.6116855058886205,10,146,100,56853
42,256,8,2.0,0.0001,100,256,15.742571662012068,15.738929532384855,19030,3.620605258956882,20790,0.9238095238095239,0.3943089430894309,0.5706073115744295,8,149,97,56855
43,256,16,0.5,0.001,100,256,7.335077644887827,7.370111056398713,18370,2.0416678981944285,18150,0.954954954954955,0.43089430894308944,0.7161575168710979,5,140,106,56858
44,256,16,0.5,0.0001,100,256,7.711397214167829,7.705099317658231,15070,1.649074020394922,18700,0.940677966101695,0.45121951219512196,0.6938756007952879,7,135,111,56856
45,256,16,1.0,0.001,100,256,11.078839878681821,11.09090489421944,16720,2.7086790857366707,16060,0.9337349397590361,0.6300813008130082,0.7663678860897767,11,91,155,56852
46,256,16,1.0,0.0001,100,256,11.504625447215465,11.495153922585864,19690,1.8972579164533676,17050,0.9586776859504132,0.4715447154471545,0.6590559591575554,5,130,116,56858
47,256,16,2.0,0.001,100,256,15.585131439076065,15.619692286724232,21340,10.655773494758202,22000,0.9655172413793104,0.22764227642276422,0.7283357729358189,2,190,56,56861
48,256,16,2.0,0.0001,100,256,15.711923996916337,15.684135553875103,16390,3.438175983429178,18810,0.9401709401709402,0.44715447154471544,0.6109188793626795,7,136,110,56856
49,256,32,0.5,0.001,100,256,7.308324507495675,7.287629367954557,17050,2.3111298828238023,16830,0.9809523809523809,0.4186991869918699,0.7507472492932606,2,143,103,56861
50,256,32,0.5,0.0001,100,256,7.692788076291463,7.6874565842463465,17710,1.1121543436084538,18040,0.9622641509433962,0.4146341463414634,0.672587590288964,4,144,102,56859
51,256,32,1.0,0.001,100,256,11.07891698257581,11.058214480417847,20680,4.9657888679848385,21560,0.9821428571428571,0.22357723577235772,0.6249220595289015,1,191,55,56862
52,256,32,1.0,0.0001,100,256,11.518219452649396,11.506426630673724,21340,3.267827168487736,21780,0.9814814814814815,0.21544715447154472,0.603277724927124,1,193,53,56862
53,256,32,2.0,0.001,100,256,16.24593342184445,16.229715500413274,27280,11.703255291061998,27500,0.8225806451612904,0.2073170731707317,0.5476567483726281,11,195,51,56852
54,256,32,2.0,0.0001,100,256,15.848766710657175,15.841934781844081,18370,4.346221656818566,16390,0.981651376146789,0.4349593495934959,0.6111514414126341,2,139,107,56861
